0.7025	2.76266	0.971955	1.03097
0.7075	2.64207	0.97195	1.07804
0.7125	2.53183	0.971944	1.12499
0.7175	2.43376	0.97194	1.17033
0.7225	2.34884	0.971935	1.21265
0.7275	2.27724	0.971931	1.25078
0.7325	2.21846	0.971927	1.28393
0.7375	2.17145	0.971924	1.31173
0.7425	2.13484	0.97192	1.33424
0.7475	2.10706	0.971917	1.35183
0.7525	2.08655	0.971915	1.36513
0.7575	2.0718	0.971912	1.37485
0.7625	2.0615	0.97191	1.38173
0.7675	2.05451	0.971908	1.38644
0.7725	2.04992	0.971906	1.38955
0.7775	2.04701	0.971904	1.39153
0.7825	2.04525	0.971902	1.39273
0.7875	2.04424	0.971899	1.39342
0.7925	2.04371	0.971895	1.39379
0.7975	2.04347	0.971888	1.39395
0.8025	2.04339	0.971876	1.39399
0.8075	2.04339	0.971852	1.39396
0.8125	2.0434	0.971806	1.3939
0.8175	2.04337	0.97172	1.3938
0.8225	2.04324	0.971559	1.39367
0.8275	2.0429	0.971262	1.39349
0.8325	2.04219	0.970715	1.39322
0.8375	2.04081	0.969717	1.39277
0.8425	2.03823	0.967905	1.392
0.8475	2.03352	0.964631	1.39066
0.8525	2.02504	0.958748	1.38827
0.8575	2.00993	0.948246	1.38403
0.8625	1.98344	0.929667	1.37655
0.8675	1.93811	0.897275	1.36345
0.8725	1.86344	0.84218	1.34102
0.8775	1.74812	0.752515	1.3041
0.8825	1.58803	0.617744	1.24788
0.8875	1.39979	0.441799	1.17392
0.8925	1.22515	0.259546	1.09837
0.8975	1.10405	0.122472	1.04422
0.9025	1.04117	0.0487015	1.01695
0.9075	1.01491	0.0176474	1.00603
0.9125	1.0052	0.00614891	1.00209
0.9175	1.00178	0.00211115	1.00071
0.9225	1.00061	0.000720871	1.00024
0.9275	1.00021	0.000245589	1.00008
0.9325	1.00007	8.35647e-05	1.00003
0.9375	1.00002	2.84068e-05	1.00001
0.9425	1.00001	9.6473e-06	1
0.9475	1	3.27286e-06	1
0.9525	1	1.10897e-06	1
0.9575	1	3.75231e-07	1
0.9625	1	1.26757e-07	1
0.9675	1	4.27402e-08	1
0.9725	1	1.43805e-08	1
0.9775	1	4.82672e-09	1
0.9825	1	1.61511e-09	1
0.9875	1	5.37137e-10	1
0.9925	1	1.72914e-10	1
0.9975	1	3.98198e-11	1
